原始ID,名称,模块,实现状态,本地运行状态,绿色,本地验证范围,原版成对验证,剩余问题,后续验证要求
acceptance:API-T01,API-T01,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:API-T02,API-T02,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:API-T03,API-T03,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:API-T04,API-T04,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:API-T05,API-T05,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:API-T06,API-T06,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:API-T07,API-T07,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:API-T08,API-T08,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:API-T09,API-T09,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:API-T10,API-T10,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:API-T11,API-T11,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:API-T12,API-T12,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:API-T13,API-T13,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:API-T14,API-T14,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:API-T15,API-T15,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:API-T16,API-T16,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:API-T17,API-T17,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:API-T18,API-T18,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:API-T19,API-T19,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:API-T20,API-T20,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:APP-001,APP-001,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:APP-002,APP-002,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:APP-003,APP-003,scenario,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:CAP-01,CAP-01,capacity_profile,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:CAP-02,CAP-02,capacity_profile,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:CAP-03,CAP-03,capacity_profile,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:CAP-04,CAP-04,capacity_profile,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:CAP-05,CAP-05,capacity_profile,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:CAP-06,CAP-06,capacity_profile,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:CAP-07,CAP-07,capacity_profile,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
acceptance:CAP-08,CAP-08,capacity_profile,not_verified,not_run,False,没有绑定此原始条目的当前本地运行证据,未执行,只有验收定义或局部工具，未收集此项所需的原版运行基线、成对轨迹及全部强制断言。,冻结原版构建、启用模块与客户端；将本条展开正常/异常/并发/超时/副作用用例，双方执行后保留原始报文、事件、文件和断言结果。
