section,编号,优先级,目标能力,可衡量验收要求,当前状态 / 依赖,目标与可衡量验收,名称/优先级,当前状态,指标、测量和通过门槛,当前结论
3. 功能需求（FR，32项）,FR-01,P0,呼入和真实媒体接入,对 T02 每条必需线路建立真实呼入，关联 SIP、Call/Leg、RTP、事件和释放；双向使用非静音可辨识音频。,L/V；M1、T02。,,,,,
3. 功能需求（FR，32项）,FR-02,P0,主动外呼,业务请求生成一次实际外呼，返回可追踪身份；取消、失败、超时和重复请求不产生额外拨号或资源。,N；受控 SIP 发起方桥接不等于通用 originate，依赖 CMD01。,,,,,
3. 功能需求（FR，32项）,FR-03,P0,线路 REGISTER/Digest,正确处理挑战、有效期、续订、注销、错误凭据/realm/源和短暂断线；注册结果与真实呼叫分别验收。,L：单固定上游客户端；完整线路矩阵 V。,,,,,
3. 功能需求（FR，32项）,FR-04,P0,接听、早期媒体与 ACK,180/183/200、早期媒体、ACK 和媒体就绪各有状态；错误 ACK 不开放需授权的音频路径，重传不重复事件。,L/K；完整线路 V。,,,,,
3. 功能需求（FR，32项）,FR-05,P0,挂断和超时,CANCEL/BYE、ACK超时、建呼超时、最长通话、控制断连覆盖正反例；T14窗口内释放并拒绝旧身份。,L/K；完整故障组合 V。,,,,,
3. 功能需求（FR，32项）,FR-06,P0,最小路由/桥接/转人工,按冻结路由表完成双腿建立和实际双向音频；转人工失败不留下半桥、错误放音或孤儿资源。,L：建立时固定桥；通用转接 N；T02/T03。,,,,,
3. 功能需求（FR，32项）,FR-07,P1,多线路与注册扩展,对需要的多网关、故障切换、终端注册分别定义合同；线路故障不串用身份，切换路径可审计。,N；不得将 REGISTER 客户端当注册服务器。,,,,,
3. 功能需求（FR，32项）,FR-08,P0,PCMA/PCMU 实时处理,每路 Decode→PCM→Encode→RTP 连续通过；逐样本/已知矢量、双向内容、时间戳、错误尺寸和释放有证据。,L/K；完整目标容量 V。,,,,,
3. 功能需求（FR，32项）,FR-09,P0,G.722 实时处理,实际 PCM 16 kHz、RTP clock 8 kHz 分开断言；同条件音质与连续电话、错误/释放通过。,D；实时图 N；核心首期能力，须完成实际电话验收。,,,,,
3. 功能需求（FR，32项）,FR-10,P0,Opus 实时处理,RTP clock固定48 kHz；冻结声道、ptime、码率和FEC/DTX设置，验证协商、实时处理与 T07 质量。,D；实时图 N；不等于 WebRTC。,,,,,
3. 功能需求（FR，32项）,FR-11,P1,按线路增加 G.729/G.726 等,T02确定必需格式、位打包、ptime与后端许可；逐项标明透传/解码/编码，真实互通不能用名称存在替代。,L/D/V；AMR/EVS另设里程碑。,,,,,
3. 功能需求（FR，32项）,FR-12,P0,PCM/格式正确性,S16LE SDK与网络L16端序分别验证；有效样本、声道、10/20ms支持范围、溢出与错误长度均被检验。,L/D/K；统一实时范围 V。,,,,,
3. 功能需求（FR，32项）,FR-13,P0,RTP 接收/发送状态,每方向独立身份；序号/时间戳回绕、SSRC替换、重复、乱序、扩展/padding/PT错误与长通话不串流。,L/K；T02/T04。,,,,,
3. 功能需求（FR，32项）,FR-14,P0,RTCP 终结和质量统计,对SR/RR与packet/octet/loss/jitter时基逐项对账；透传和本地终结分别测试，未知指标不填0。,L；完整线路 V。,,,,,
3. 功能需求（FR，32项）,FR-15,P0,有界抖动缓冲,冻结最小/目标/上限和序号窗口；注入T13网络条件，延迟、条数、字节不超上限，不能靠无限等待掩盖丢包。,L：有限G.711图；可配置线路矩阵 V，T10。,,,,,
3. 功能需求（FR，32项）,FR-16,P0,CN/DTX/PLC/丢失分辨,每类输入保留独立来源/原因；补偿不冒充真实讲话，未知时长不填20ms；FEC收益与等待代价分别量化。,L/K：部分元数据和PLC；完整codec策略 V。,,,,,
3. 功能需求（FR，32项）,FR-17,P0,AudioFrame 元数据与所有权,采样率、声道、格式、样本数、媒体位置、RTP位置、来源、期限与生命周期可核对；复用后旧句柄无效。,L/D/K；完整图 V。,,,,,
3. 功能需求（FR，32项）,FR-18,P0,按需重采样,同率路径不转换；目标分支转换且显式报告滤波延迟，源媒体时钟不改写；长通话漂移≤T07。,D；K有ASR8→16k；TTS24/48k实时分支 N。,,,,,
3. 功能需求（FR，32项）,FR-19,P0,有限静态 Audio Graph,会话开始前验证节点/预算/执行顺序；热路径不动态加载配置；帧边界版本切换不混用新旧参数。,L：有限bridge/local；完整图版本变更 V。,,,,,
3. 功能需求（FR，32项）,FR-20,P1,增益、必要混音/语音增强,只启用冻结模板；无削波/跨通话串音，重DSP有并发与期限上限；与ASR原始RX轨隔离。,基础局部L；通用能力 N/V，T07。,,,,,
3. 功能需求（FR，32项）,FR-21,P0,流式 ASR 上行,使用真实流式连接持续上传对端RX；验证partial/final、源范围、超时、慢读、断连、取消、过期与恢复；模型质量按T07。,K：ASR1摘要代理；真实厂商 N，T06。,,,,,
3. 功能需求（FR，32项）,FR-22,P0,流式 TTS 下行,真实分块音频按电话目标格式节奏发送；突发、慢流、中途失败、迟到旧块和结束均有结果；不能一次灌入数百ms。,L：PCM供音底座；真实厂商 N，T06/T10。,,,,,
3. 功能需求（FR，32项）,FR-23,P0,全双工持续收音,TTS播放、按键、打断及模型慢响应时继续处理对端RX；不得把TX或混合录音误作ASR输入。,L/K：独立RX/TX；完整业务 V。,,,,,
3. 功能需求（FR，32项）,FR-24,P0,VAD 与 endpointing,T07数据集覆盖短答、长语音、噪声、回声、抢话、CN/丢包；SpeechStart/End误报漏报和延迟达到冻结阈值。,N；M2阻断项。,,,,,
3. 功能需求（FR，32项）,FR-25,P0,统一 Turn 与旧音频失效,旧turn被替代后故意迟到500ms的TTS不得新发出；排队、转换和最后提交都核版本，打断不复位RTP时间线。,L：PCM轮次；ASR/LLM/TTS协同 N。,,,,,
3. 功能需求（FR，32项）,FR-26,P0,打断与可控淡出,立即、20/40ms分别验证包络、持续时长和完成原因；记录讲话→确认→开始停播→最后旧包提交四段时间。,L：PCM动作；自动语音触发/端到端 V，T08。,,,,,
3. 功能需求（FR，32项）,FR-27,P0,Agent 业务编排,Go关联任务、路由、Agent会话、模型请求、turn与工具结果；外部慢请求不阻塞媒体；错误与取消不复活旧回复。,N；范围冻结T03/T06，不要求内置任意模型。,,,,,
3. 功能需求（FR，32项）,FR-28,P0,DTMF 与有限 IVR,telephone-event按协商PT/clock/events收发，16键、持续/结束去重；read/提示/超时/终止键与目标FS语义逐项对照。,L：本地A腿/INFO接收子集；桥接发送与完整语义 V。,,,,,
3. 功能需求（FR，32项）,FR-29,P0,RX/TX 双轨录音,真正保存可播放的独立双轨，时间和样本可对齐；缺口、PLC/CN、打断均可解释，不能以journal当录音。,N；T09，M2阻断项。,,,,,
3. 功能需求（FR，32项）,FR-30,P0,录音持久化与故障,媒体线程外有界写入；慢/满盘、写失败、进程退出、上传重试产生明确状态；停止后最终文件/对象校验完成。,N；T09/T14。,,,,,
3. 功能需求（FR，32项）,FR-31,P0,回复发送进度,分开记录模型已生成、适配器已收到、媒体已提交和可推断播放进度；不能把生成全文当用户听完。,L：PCM样本计数；完整业务进度 N。,,,,,
3. 功能需求（FR，32项）,FR-32,P0,中文可视化配置与文档,按T03配置覆盖清单提供输入、校验、有效/待生效状态、导入导出及完整接口/FS对照；仅导出项显式标注。,L；新增候选文档/全面覆盖 V。,,,,,
