优先级,首期范围,原始ID,名称,分类,模块,实现状态,本地验证状态,完整契约通过,下一步动作,剩余差异,已测范围,接口文档
P0,core,key-api-pcm-stream,私有RVA1流式PCM API,key_api,cross_interface,implemented,passed,False,限定本地断言已通过；继续补全所列差异并进行完整原版契约对照,这是自有部署可选API；64字节RVA1请求头、96字节RVR1回复头和各自错误码不兼容ESL、HTTP或内部RSP1/RSR1。；新轮成功替换旧token；未知替换必须保留受限旧控制身份直到结果收敛。输入关闭/退休不等于真实停止，只有实际终态确认后FORGET才删除；原ASR/TTS服务、录音与桥接注入仍未实现。；单路22项验收不证明完整并发连接/故障组合、原版兼容或5000/10000路Agent容量；旧失败证据保留。,本地私有Unix控制/数据连接跨连接令牌、ACK/应用互斥/挂断和代次撤销；两种UDP模式的真实SIP/私有RVA1/Go句柄/继承FD/Rust本地A腿G.711、8kHz、20ms限定链路；共22顶层及12子项。不是FreeSWITCH成对、通用二进制畸形输入全集、ASR/TTS供应商或并发容量认证。,api/rva1-reference.md
P0,core,key-api-rx-sdk,内部Go服务端上行音频SDK,key_api,cross_interface,internal_only,passed,False,限定本地断言已通过；继续补全所列差异并进行完整原版契约对照,这是服务内部SDK，没有供外部ASR直接连接的HTTP/Unix协议、供应商适配器、自动重采样、VAD或识别结果事件。；Go撤读/退休、Rust终态、内核已提交和SDK交付分别取证；调用者暂停后再使用音频须复核原到期值，100ms从Graph观察开始，并非声学采集到识别的总延迟。；真实四子例检查单路SIP授权和媒体生命周期，不证明全FreeSWITCH兼容、Linux运行、5000/10000路Agent容量或ASR识别效果。,内部Go收音句柄、SIP授权、交付期限及挂断清理；PCMU/PCMA×普通/connected UDP 的真实 Rust→RXS2→Go SDK、本地 A 腿、8kHz/20ms；正常样本/250ms接收暂停/实际SIP授权清理共12子例。仅内部SDK，非HTTP、原版FS成对、ASR供应商、Linux运行或容量认证。MSG_PEEK仅核实OS队首，不代表整个队列抓包。,api/rx-stream-reference.md
P0,core,key-ipc-allocate,内部分配媒体会话,key_ipc,cross_interface,internal_only,passed,False,限定本地断言已通过；继续补全所列差异并进行完整原版契约对照,仅 Go 控制面与 Rust 子进程 stdin/stdout 使用，有界 JSON 行；不是公开 HTTP/ESL。；请求/响应 id、session、ok、type 的语义不等于 UUID、Job-UUID 或 +OK。,取消时保留在途分配结果与非法成功回复拒绝,api/pcm-turn-reference.md
P0,core,key-ipc-connect,内部设置 B 腿,key_ipc,cross_interface,internal_only,passed,False,限定本地断言已通过；继续补全所列差异并进行完整原版契约对照,仅 Go 控制面与 Rust 子进程 stdin/stdout 使用，有界 JSON 行；不是公开 HTTP/ESL。；请求/响应 id、session、ok、type 的语义不等于 UUID、Job-UUID 或 +OK。,媒体连接更新合并与已结束通话不应用排队更新,api/processed-media-reference.md
P0,core,key-ipc-dtmf-events,内部按键事件游标,key_ipc,cross_interface,internal_only,passed,False,限定本地断言已通过；继续补全所列差异并进行完整原版契约对照,仅 Go 控制面与 Rust 子进程 stdin/stdout 使用，有界 JSON 行；不是公开 HTTP/ESL。；请求/响应 id、session、ok、type 的语义不等于 UUID、Job-UUID 或 +OK。,两种UDP模式下真实DTMF结束去重、缺结束报错与释放；不覆盖全部事件组合,api/freeswitch-comparison.md#key-ipc-dtmf-events
P0,core,key-ipc-dtmf-send,内部按键发送,key_ipc,cross_interface,internal_only,passed,False,限定本地断言已通过；继续补全所列差异并进行完整原版契约对照,仅支持已ACK本地A腿；桥接、B腿和SIP INFO发送拒绝。；受理不等于远端收到或播放，超时在途请求需查询状态或挂断清理；不是完整FreeSWITCH发送语法。,两种UDP模式下16按键/精确duration/三结束包、PT110、Opus48k/G7228k、共享播放包序与恒定事件时戳；拒绝不修改桥接RTP/RTCP；仅内部媒体合同,api/dtmf-send-reference.md
P0,core,key-ipc-dtmf-send-status,内部按键发送进度,key_ipc,cross_interface,internal_only,passed,False,限定本地断言已通过；继续补全所列差异并进行完整原版契约对照,仅支持已ACK本地A腿；桥接、B腿和SIP INFO发送拒绝。；受理不等于远端收到或播放，超时在途请求需查询状态或挂断清理；不是完整FreeSWITCH发送语法。,两种UDP模式下真实完成包数、32数字队列整批拒绝、释放清理和暂停自有worker造成明确失败；completed是UDP提交，不是远端听到,api/dtmf-send-reference.md
P0,core,key-ipc-pcm-push,内部PCM二进制供音,key_ipc,cross_interface,internal_only,passed,False,限定本地断言已通过；继续补全所列差异并进行完整原版契约对照,仅本地G.711 8k mono 20ms图；不是FreeSWITCH同名命令、speak、录音或ASR上行接口。；内部session不是SIP UUID；Rust媒体层不拥有SIP ACK，外部Go入口另行核验正确ACK、分配及worker代次。；接受、关闭输入、Go句柄退休、Rust实际终态和远端收到是不同事实；结果未知需用原身份查询/停止，不盲重发音频。,原始S16LE批次到全部实际G.711样本、偏移/容量整批拒绝后继续；两种UDP模式的真实SIP/私有RVA1/Go句柄/继承FD/Rust本地A腿G.711、8kHz、20ms限定链路；共22顶层及12子项。不是FreeSWITCH成对、通用二进制畸形输入全集、ASR/TTS供应商或并发容量认证。,api/pcm-turn-reference.md
P0,core,key-ipc-pcm-turn-begin,内部PCM轮次启动,key_ipc,cross_interface,internal_only,passed,False,限定本地断言已通过；继续补全所列差异并进行完整原版契约对照,仅本地G.711 8k mono 20ms图；不是FreeSWITCH同名命令、speak、录音或ASR上行接口。；内部session不是SIP UUID；Rust媒体层不拥有SIP ACK，外部Go入口另行核验正确ACK、分配及worker代次。；接受、关闭输入、Go句柄退休、Rust实际终态和远端收到是不同事实；结果未知需用原身份查询/停止，不盲重发音频。,真实ACK授权、同轮令牌幂等、较新轮次替换及播放互斥；两种UDP模式的真实SIP/私有RVA1/Go句柄/继承FD/Rust本地A腿G.711、8kHz、20ms限定链路；共22顶层及12子项。不是FreeSWITCH成对、通用二进制畸形输入全集、ASR/TTS供应商或并发容量认证。,api/pcm-turn-reference.md
P0,core,key-ipc-pcm-turn-end,内部PCM生产结束,key_ipc,cross_interface,internal_only,passed,False,限定本地断言已通过；继续补全所列差异并进行完整原版契约对照,仅本地G.711 8k mono 20ms图；不是FreeSWITCH同名命令、speak、录音或ASR上行接口。；内部session不是SIP UUID；Rust媒体层不拥有SIP ACK，外部Go入口另行核验正确ACK、分配及worker代次。；接受、关闭输入、Go句柄退休、Rust实际终态和远端收到是不同事实；结果未知需用原身份查询/停止，不盲重发音频。,实际PCM入队后End、样本守恒与排空终态，错误最终偏移可修正；两种UDP模式的真实SIP/私有RVA1/Go句柄/继承FD/Rust本地A腿G.711、8kHz、20ms限定链路；共22顶层及12子项。不是FreeSWITCH成对、通用二进制畸形输入全集、ASR/TTS供应商或并发容量认证。,api/pcm-turn-reference.md
