id,kind,source,line,input_or_scenario,assertions,status
ESL-T01,scenario,02-esl-events.md,190,inbound 正确密码；按 1 字节分片发送认证,原版客户端成功；只有该连接获得身份,not_run
ESL-T02,scenario,02-esl-events.md,191,错密码、空值、未认证 `api status`、认证超时,回复/断连与 R 一致；无业务副作用,not_run
ESL-T03,scenario,02-esl-events.md,192,ACL 放行/拒绝；IPv4/IPv6；端口被占用,监听、拒绝和进程可用性符合原配置,not_run
ESL-T04,scenario,02-esl-events.md,193,`userauth` 域/组/用户覆盖，受限 API 与嵌套包装 API,相同授权结果及 Allowed 头；事件/日志不越权,not_run
ESL-T05,scenario,02-esl-events.md,194,LF、CRLF；两个命令一次写入；在每个字节位置拆开一次,响应个数及帧边界正确；无多执行,not_run
ESL-T06,scenario,02-esl-events.md,195,9 字节 UTF-8 正文含空行，紧接下一条命令,正文完整；下一帧不被吞入,not_run
ESL-T07,scenario,02-esl-events.md,196,正文长度 0、1、16 MiB、16 MiB+1；负数、溢出、重复长度,有效上界与畸形输入逐项对照；无失控分配/跨连接影响,not_run
ESL-T08,scenario,02-esl-events.md,197,只发送部分正文后 FIN/RST；超长未结束的头,不执行半条业务消息；资源回收与关闭证据完整,not_run
ESL-T09,scenario,02-esl-events.md,198,`api` 正常/未知/错误参数/无输出/多行/JSON 输出,Content-Type、正文及错误层次一致,not_run
ESL-T10,scenario,02-esl-events.md,199,`api` 带 `console_execute`，原版 fs_cli Tab 补全,交互客户端无需修改；输出和补全契约正确,not_run
ESL-T11,scenario,02-esl-events.md,200,`bgapi` 自动 UUID 与指定 J1；订阅 BACKGROUND_JOB,回复与事件 UUID 对应，正文为 API 结果,not_run
ESL-T12,scenario,02-esl-events.md,201,并行 J1/J2，一个慢一个快；重复 J1,按实际任务完成；不串结果、不擅自幂等去重,not_run
ESL-T13,scenario,02-esl-events.md,202,bgapi 受理后立即断开，再建新连接,记录任务真实结果与事件缺口；不虚构重放/撤销,not_run
ESL-T14,scenario,02-esl-events.md,203,四种 outbound socket 模式，用原版 fd 构造客户端,connect/getInfo、Socket-Mode、Control、当前 UUID 正确,not_run
ESL-T15,scenario,02-esl-events.md,204,outbound 目标拒绝、超时、多目标、业务进程退出,呼叫状态及拨号计划后续动作与 R 一致,not_run
ESL-T16,scenario,02-esl-events.md,205,每种模式中向当前 U1、另一 U2、不存在 UUID 发 sendmsg,形成实际模式权限矩阵；不将 full 误当完整隔离,not_run
ESL-T17,scenario,02-esl-events.md,206,sendmsg 命令行 UUID、session-id、无 UUID 的优先级组合,仅目标通道发生动作；失败路径无误操作,not_run
ESL-T18,scenario,02-esl-events.md,207,execute sleep，指定 E1，随后执行带 E2 的 set/log,两组 Application-UUID、开始/完成、变量效果对应,not_run
ESL-T19,scenario,02-esl-events.md,208,executeAsync 与默认 execute；event-lock 开/关,原版等待行为与应用顺序对照；TCP 回复不当完成证据,not_run
ESL-T20,scenario,02-esl-events.md,209,锁内等待 DTMF/媒体；同时 break、hangup、转移,无死锁；后续执行、挂断原因和结束事件一致,not_run
ESL-T21,scenario,02-esl-events.md,210,应用参数用头/正文；空参数、Unicode、空行、变量展开,应用收到相同参数与作用域；不双解码,not_run
ESL-T22,scenario,02-esl-events.md,211,loops=0/1/2/负值，随后中断；lead-frames、hold-bleg,循环数、关联事件、中断与 B 腿状态符合 R,not_run
ESL-T23,scenario,02-esl-events.md,212,未知应用、无应用名、无效/已挂机/正在结束 UUID,区分命令接收与执行失败；错误及副作用一致,not_run
ESL-T24,scenario,02-esl-events.md,213,sendmsg hangup、nomedia、unicast、xferext 的有效/无效参数,不只检查回复；核验 SIP、媒体和拨号计划效果,not_run
ESL-T25,scenario,02-esl-events.md,214,event 两次累加、ALL 后 nixevent、noevents 后重订阅,对照收到的事件集合和队列清理边界,not_run
ESL-T26,scenario,02-esl-events.md,215,订阅中切换 plain/json/xml；正文含百分号、加号、中文,原版解析值、数组、空值、正文均等价,not_run
ESL-T27,scenario,02-esl-events.md,216,filter 正值、两种不同头、两个同名头、负值、仅负值、缺头,对照完整真值表，特别排除错误的跨头 AND 实现,not_run
ESL-T28,scenario,02-esl-events.md,217,filter 正则及正负前缀；删除单值、单头、全部,匹配语言与删除范围正确；其他连接不受影响,not_run
ESL-T29,scenario,02-esl-events.md,218,myevents U1、同时 U2 活动；重复启用及无效 UUID,事件集合、错误和 Job-Owner 例外均对照,not_run
ESL-T30,scenario,02-esl-events.md,219,myevents 与 filter/event/noevents 交叉切换,会话绑定与订阅状态不被简单别名化,not_run
ESL-T31,scenario,02-esl-events.md,220,sendevent CUSTOM，指定业务头、正文和 Unique-ID,发布/路由/返回标识及接收者内容与 R 一致,not_run
ESL-T32,scenario,02-esl-events.md,221,log 全级别、非法级别、nolog 两次、受限目录用户,级别和错误准确；不损坏事件订阅,not_run
ESL-T33,scenario,02-esl-events.md,222,linger 无参数/0/2 秒、nolinger，通道正常/异常挂机,notice 头、保留时间和 TCP 关闭对照,not_run
ESL-T34,scenario,02-esl-events.md,223,resume/socket_resume 开/关，socket 断开及显式退出,后续拨号计划只按正确状态执行,not_run
ESL-T35,scenario,02-esl-events.md,224,多 socket 同时控制 U1；U1/U2 并行执行相同应用,不串通道、UUID、回复；只验证原版支持的因果约束,not_run
ESL-T36,scenario,02-esl-events.md,225,一个连接持续事件流中顺序调用 API/bgapi,原版 sendRecv 能取得回复，并在后续 recv 中取回交错事件,not_run
ESL-T37,scenario,02-esl-events.md,226,一个消费者暂停读，另一个正常读，同时媒体承载,资源有界；慢连接影响及丢失/断连可观测；正常连接和媒体符合 SLO,not_run
ESL-T38,scenario,02-esl-events.md,227,consumer 重连、服务端重启、Core-UUID 变化,重新认证订阅；不复用旧 epoch，也不伪造断档的事件,not_run
ESL-T39,scenario,02-esl-events.md,228,1 万双腿通话（通常约 2 万 channel），另冻结 ESL 连接/订阅数；统计事件总量/延迟/队列,全量事件与窄订阅分别验收；媒体负载与事件负载均需证据,not_run
ESL-T40,scenario,02-esl-events.md,229,用户原业务产物完成呼叫、DTMF、播放、转接、挂断流程,业务代码零改动，输出/CDR/事件/媒体结果均合格,not_run
